Id,Name,Mileage,Elevation,Latt,Long,State
1,Max Epperson Shelter,-8.7,1858,34.557779,-84.248734,GA
2,Black Gap Shelter,-1.5,3300,34.61768,-84.19871,GA
3,Springer Mountain Shelter,0.2,3730,34.62946,-84.19268,GA
4,Stover Creek Shelter,2.8,2930,34.65029,-84.197196,GA
5,Hawk Mountain Shelter,8.1,3200,34.66603,-84.13631,GA
6,Gooch Mountain Shelter,15.7,3000,34.65565,-84.04994,GA
7,Woods Hole Shelter,27.7,3600,34.73724,-83.95495,GA
8,Blood Mountain Shelter,28.9,4450,34.74003,-83.93743,GA
9,Whitley Gap Shelter,38,3370,34.7125,-83.83428,GA
10,Low Gap Shelter,42.8,3050,34.77625,-83.8245,GA
11,Blue Mountain Shelter,50.1,3900,34.81724,-83.76668,GA
12,Tray Mountain Shelter,58.2,4200,34.80413,-83.67678,GA
13,Deep Gap Shelter,65.6,3550,34.88248,-83.64591,GA
14,Plumorchard Gap Shelter,73.7,3050,34.94594,-83.58828,GA
15,Muskrat Creek Shelter,81,4600,35.02072,-83.58144,NC
16,Standing Indian Shelter,85.9,4760,35.04197,-83.54806,NC
17,Carter Gap Shelter,93.5,4540,34.99902,-83.49408,NC
18,Long Branch Shelter,102.2,4437,35.069971,-83.498158,NC
19,Rock Gap Shelter,105.6,3760,35.09159,-83.52303,NC
20,Siler Bald Shelter,113.1,4600,35.14422,-83.57247,NC
21,Wayah Bald Shelter,120.4,4759,35.18946,-83.56441,NC
22,Cold Spring Shelter,125.2,4920,35.23109,-83.55996,NC
23,Wesser Bald Shelter,131,4115,35.28248,-83.58211,NC
24,A. Rufus Morgan Shelter,135.9,2300,35.32427,-83.59018,NC
25,Sassafras Gap Shelter,143.8,4330,35.33087,-83.66688,NC
26,Brown Fork Gap Shelter,152.9,3800,35.37427,-83.73392,NC
27,Cable Gap Shelter,159.2,2880,35.41523,-83.77342,NC
28,Fontana Dam Shelter,165.9,1775,35.44849,-83.79398,NC
29,Mollies Ridge Shelter,177.7,4570,35.54588,-83.7935,TN
30,Russell Field Shelter,180.8,4360,35.5619,-83.7669,TN
31,Spence Field Shelter,183.7,4915,35.5617,-83.7322,NC
32,Derrick Knob Shelter,189.8,4880,35.56635,-83.64179,TN
33,Silers Bald Shelter,195.5,5460,35.5643,-83.56822,NC
34,Double Spring Gap Shelter,197.2,5505,35.56527,-83.54274,NC
35,Mt. Collins Shelter,202.8,5870,35.59384,-83.47129,TN
36,Icewater Spring Shelter,210.8,5920,35.62979,-83.38627,NC
37,Pecks Corner Shelter,218.2,5280,35.65083,-83.30848,NC
38,Tri-corner Knob Shelter,223.4,5920,35.69376,-83.25653,NC
39,Cosby Knob Shelter,231.1,4740,35.72828,-83.1822,NC
40,Davenport Gap Shelter,238,2600,35.7693,-83.1234,TN
41,Groundhog Creek Shelter,248.7,2850,35.78184,-83.02632,NC
42,Roaring Fork Shelter,257,3590,35.805,-82.94978,NC
43,Walnut Mountain Shelter,261.8,4260,35.8365,-82.93649,TN
44,Deer Park Mountain Shelter,271.7,2330,35.87595,-82.86125,NC
45,Spring Mountain Shelter,285.9,3300,35.95177,-82.79007,TN
46,Little Laurel Shelter,294.5,3620,36.0151,-82.73592,NC
47,Jerry Cabin Shelter,301.8,4150,36.05655,-82.65713,NC
48,Flint Mountain Shelter,308.5,3570,36.03486,-82.59664,NC
49,Hogback Ridge Shelter,317.3,4255,35.96408,-82.58713,NC
50,Bald Mountain Shelter,327.4,5100,36.00016,-82.47809,TN
51,No Business Knob Shelter,338,3180,36.06662,-82.43365,TN
52,Curley Maple Gap Shelter,348.5,3070,36.10433,-82.39684,TN
53,Cherry Gap Shelter,361.4,3900,36.12924,-82.26412,TN
54,Clyde Smith Shelter,370.5,4400,36.14852,-82.16118,TN
55,Roan High Knob Shelter,379,6275,36.10506,-82.12222,TN
56,Stan Murray Shelter,384.2,5050,36.11236,-82.06571,NC
57,Overmountain Shelter,386.1,4550,36.12349,-82.05429,NC
58,Mountaineer Falls Shelter,404.1,3200,36.2202,-81.9857,TN
59,Moreland Gap Shelter,413.7,3815,36.22015,-82.08831,TN
60,Laurel Fork Shelter,421.9,2450,36.27876,-82.13623,TN
61,Watauga Lake Shelter,430.5,2130,36.31398,-82.1294,TN
62,Vandeventer Shelter,437.7,3620,36.36707,-82.05877,TN
63,Iron Mountain Shelter,444.5,4125,36.4354,-81.99095,TN
64,Double Springs Shelter,452.2,4060,36.50911,-81.98606,TN
65,Abingdon Gap Shelter,460.5,3785,36.58094,-81.90189,TN
66,Saunders Shelter,479.7,3310,36.63776,-81.71347,VA
67,Lost Mountain Shelter,486.7,3360,36.64419,-81.65592,VA
68,Thomas Knob Shelter,499.1,5400,36.6566,-81.53524,VA
69,Wise Shelter,504.2,4460,36.654,-81.49836,VA
70,Old Orchard Shelter,510.2,4050,36.68313,-81.51121,VA
71,Hurricane Mountain Shelter,515.1,3850,36.71536,-81.50952,VA
72,Trimpi Shelter,524.3,2900,36.74939,-81.48041,VA
73,Partnership Shelter,534.1,3360,36.80953,-81.42237,VA
74,Chatfield Shelter,541.1,3150,36.85003,-81.36317,VA
75,Davis Path Campsite,548.5,2840,36.91451,-81.37672,VA
76,Knot Maul Branch Shelter,560.4,2880,37.0008,-81.40446,VA
77,Chestnut Knob Shelter,569.8,4409,37.05773,-81.39934,VA
78,Jenkins Shelter,580.5,2500,37.0934,-81.24762,VA
79,Helveys Mill Shelter,594,3090,37.13078,-81.10295,VA
80,Jenny Knob Shelter,603.7,2800,37.15504,-80.98013,VA
81,Wapiti Shelter,618.2,2640,37.22386,-80.82403,VA
82,Docs Knob Shelter,627.7,3555,37.27031,-80.83615,VA
83,Rice Field Shelter,644.2,3375,37.37485,-80.75835,VA
84,Pine Swamp Branch Shelter,656.7,2530,37.42204,-80.6084,VA
85,Bailey Gap Shelter,660.6,3525,37.40095,-80.57702,VA
86,War Spur Shelter,669.4,2340,37.39757,-80.47382,VA
87,Laurel Creek Shelter,675.2,2720,37.35896,-80.42068,VA
88,Sarver Hollow Shelter,681.8,3000,37.35469,-80.33741,VA
89,Niday Shelter,687.8,1800,37.38765,-80.26403,VA
90,Pickle Branch Shelter,697.9,1845,37.38016,-80.1846,VA
91,Johns Spring Shelter,711.5,1980,37.38537,-80.07403,VA
92,Catawba Mountain Shelter,712.5,2580,37.38818,-80.05714,VA
93,Campbell Shelter,714.9,2580,37.39082,-80.02922,VA
94,Lamberts Meadow Shelter,720.9,2080,37.43461,-79.98754,VA
95,Fullhardt Knob Shelter,735.3,2670,37.39852,-79.85367,VA
96,Wilson Creek Shelter,741.5,1830,37.41936,-79.78558,VA
97,Bobblets Gap Shelter,748.8,1920,37.46712,-79.70121,VA
98,Cove Mountain Shelter,755.3,1925,37.51163,-79.65071,VA
99,Bryant Ridge Shelter,762.3,1320,37.53015,-79.58557,VA
100,Cornelius Creek Shelter,767.2,3145,37.49401,-79.54703,VA
101,Thunder Hill Shelter,772.5,3960,37.52746,-79.5039,VA
