Name,Mileage,Elevation,State,Long,Latt
Max Epperson Shelter,-8.7,"1,858",GA,-84.19298,34.62927
Black Gap Shelter,-1.5,"3,300",GA,-84.1988,34.61756
Springer Mountain Shelter,0.2,"3,733",GA,-84.1931,34.62915
Stover Creek Shelter,2.8,"2,932",GA,-84.1999,34.64945
Hawk Mountain Shelter,8.1,"3,209",GA,-84.1364,34.66583
Gooch Mountain Shelter,15.8,"2,821",GA,-84.0343,34.6532
Woods Hole Shelter,28.2,"3,688",GA,-83.955,34.73713
Blood Mountain Shelter,29.3,"4,461",GA,-83.9375,34.73996
Whitley Gap Shelter,38.4,"3,650",GA,-83.8344,34.71239
Low Gap Shelter,43.2,"3,054",GA,-83.8247,34.77618
Blue Mountain Shelter,50.5,"3,906",GA,-83.7668,34.81711
Tray Mountain Shelter,58.6,"4,199",GA,-83.6769,34.80396
Deep Gap Shelter,66,"3,583",GA,-83.6462,34.88235
Plumorchard Gap Shelter,74.1,"3,165",GA,-83.5883,34.94604
Muskrat Creek Shelter,81.4,"4,580",NC,-83.5816,35.02054
Standing Indian Shelter,86.3,"4,757",NC,-83.5482,35.04183
Carter Gap Shelter,93.9,"4,520",NC,-83.4949,34.99987
Long Branch Shelter,102.5,"4,995",NC,-83.4789,35.05891
Rock Gap Shelter,106,"3,787",NC,-83.5231,35.09144
Siler Bald Shelter,114,"4,786",NC,-83.5725,35.14414
Wayah Bald Shelter,120.8,"4,729",NC,-83.5644,35.18945
Cold Spring Shelter,125.6,"4,945",NC,-83.5599,35.2309
Wesser Bald Shelter,131.4,"4,227",NC,-83.5822,35.28235
A. Rufus Morgan Shelter,136.3,"2,201",NC,-83.5902,35.32418
Sassafras Gap Shelter,144,"4,400",NC,-83.667,35.33068
Brown Fork Gap Shelter,153.1,"3,739",NC,-83.7339,35.37424
Cable Gap Shelter,159.2,"2,905",NC,-83.7736,35.41522
Fontana Dam Shelter,165.9,"1,864",NC,-83.79398,35.44849
Mollies Ridge Shelter,177.3,"4,602",TN,-83.7936,35.54578
Russell Field Shelter,180.4,"4,367",TN,-83.7666,35.56174
Spence Field Shelter,183.2,"4,921",NC,-83.7327,35.5618
